Time [s], Analyzer Name, Decoded Protocol Result,,,
0.456772042,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456790792,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456809583,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456828333,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456847125,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456865875,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456884667,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456903458,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456922208,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456941,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.45695975,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456978542,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.456997292,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.457016083,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.457034833,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.457053625,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.457072375,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.457091167,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.457109875,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.457128667,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.457147417,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.457166208,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.457184958,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.45720375,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.4572225,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532249458,SPI,MOSI, 0x2BFB,  MISO, 0xFFFF
0.532289458,SPI,MOSI, 0x2BFB,  MISO, 0xFFFF
0.532330167,SPI,MOSI, 0x0100,  MISO, 0xFFFF
0.532348667,SPI,MOSI, 0xDA00,  MISO, 0xFFFF
0.532367583,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532386458,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532405208,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532424,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.53244275,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532461542,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532480292,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532499083,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532517833,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532536625,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532555375,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532574167,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532592917,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532611708,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532630458,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.53264925,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532668,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532686792,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532705583,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532724333,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532743125,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532761875,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532780667,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532799417,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532818208,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532836958,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.53285575,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.5328745,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532893292,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532912042,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532930833,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532949583,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532968375,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.532987125,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.533005917,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.533024708,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.533043458,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.608071125,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.608089667,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.608129542,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.608148083,SPI,MOSI, 0x0000,  MISO, 0x3FFF
0.608187667,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.608206208,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.608245792,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.608264333,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.608303917,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.608322417,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.608363042,SPI,MOSI, 0x4700,  MISO, 0xFFFF
0.608381542,SPI,MOSI, 0x7000,  MISO, 0xFF00
0.608400458,SPI,MOSI, 0x0000,  MISO, 0xBC9E
0.608425625,SPI,MOSI, 0x0000,  MISO, 0x4000
0.608450667,SPI,MOSI, 0x0000,  MISO, 0x5D9F
0.608475708,SPI,MOSI, 0x0000,  MISO, 0x1001
0.60850075,SPI,MOSI, 0x0000,  MISO, 0x0010
0.608525333,SPI,MOSI, 0x0000,  MISO, 0xA090
