Time [s], Analyzer Name, Decoded Protocol Result,,,
0.071550917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071558917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071568417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071576417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071585917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071593917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071603417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071611417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071620917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071628917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071638417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071646417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071655917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071663917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071673417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071681417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071690917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071698917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071708417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071716417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071725917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071733917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071743417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071751417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071760917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071768917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071778417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071786417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071795917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071803917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071813417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071821417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071830917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071838917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071848417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071856417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071865917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071873917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071883417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071891417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071900917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071908917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071918417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071926417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071935917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071943917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071953417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071961417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071970917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071978917,SPI,MOSI, 0x00,  MISO, 0xFF
0.071988417,SPI,MOSI, 0x00,  MISO, 0xFF
0.071996417,SPI,MOSI, 0x00,  MISO, 0xFF
0.072005917,SPI,MOSI, 0x00,  MISO, 0xFF
0.072013917,SPI,MOSI, 0x00,  MISO, 0xFF
0.072023417,SPI,MOSI, 0x00,  MISO, 0xFF
0.072031417,SPI,MOSI, 0x00,  MISO, 0xFF
0.072040917,SPI,MOSI, 0x00,  MISO, 0xFF
0.072048917,SPI,MOSI, 0x00,  MISO, 0xFF
0.07222,SPI,MOSI, 0x2A,  MISO, 0xFF
0.072228,SPI,MOSI, 0xD4,  MISO, 0xFF
0.0722375,SPI,MOSI, 0x00,  MISO, 0x0F
0.0722455,SPI,MOSI, 0x00,  MISO, 0xFF
0.072277375,SPI,MOSI, 0x2A,  MISO, 0xFF
0.072285375,SPI,MOSI, 0xD4,  MISO, 0xFF
0.072294875,SPI,MOSI, 0x00,  MISO, 0x0F
0.072302875,SPI,MOSI, 0x00,  MISO, 0xFF
0.072332792,SPI,MOSI, 0x2A,  MISO, 0xFF
0.072340792,SPI,MOSI, 0xD4,  MISO, 0xFF
0.072350292,SPI,MOSI, 0x00,  MISO, 0x0F
0.072358292,SPI,MOSI, 0x00,  MISO, 0xFF
0.072387917,SPI,MOSI, 0x2A,  MISO, 0xFF
0.072395917,SPI,MOSI, 0xD4,  MISO, 0xFF
0.072405417,SPI,MOSI, 0x00,  MISO, 0x0F
0.072413417,SPI,MOSI, 0x00,  MISO, 0xFF
0.072454,SPI,MOSI, 0x2A,  MISO, 0xFF
0.072462,SPI,MOSI, 0xD4,  MISO, 0xFF
0.0724715,SPI,MOSI, 0x00,  MISO, 0x0F
0.0724795,SPI,MOSI, 0x00,  MISO, 0xFF
0.07250925,SPI,MOSI, 0x2A,  MISO, 0xFF
0.07251725,SPI,MOSI, 0xD4,  MISO, 0xFF
0.07252675,SPI,MOSI, 0x00,  MISO, 0x0F
0.07253475,SPI,MOSI, 0x00,  MISO, 0xFF
0.072565292,SPI,MOSI, 0x2A,  MISO, 0xFF
0.072573292,SPI,MOSI, 0xD4,  MISO, 0xFF
0.072582792,SPI,MOSI, 0x00,  MISO, 0x0F
0.072590792,SPI,MOSI, 0x00,  MISO, 0xFF
0.072620583,SPI,MOSI, 0x2A,  MISO, 0xFF
0.072628583,SPI,MOSI, 0xD4,  MISO, 0xFF
0.072638083,SPI,MOSI, 0x00,  MISO, 0x0F
0.072646083,SPI,MOSI, 0x00,  MISO, 0xFF
0.072675875,SPI,MOSI, 0x2A,  MISO, 0xFF
0.072683875,SPI,MOSI, 0xD4,  MISO, 0xFF
0.072693375,SPI,MOSI, 0x00,  MISO, 0x0F
0.072701375,SPI,MOSI, 0x00,  MISO, 0xFF
0.072743667,SPI,MOSI, 0x4E,  MISO, 0xFF
0.072751708,SPI,MOSI, 0x83,  MISO, 0xFF
0.072761167,SPI,MOSI, 0x8E,  MISO, 0xFF
0.072769167,SPI,MOSI, 0x00,  MISO, 0x83
0.072778667,SPI,MOSI, 0x00,  MISO, 0xB1
0.072786667,SPI,MOSI, 0x00,  MISO, 0x93
0.072796167,SPI,MOSI, 0x00,  MISO, 0x83
0.072804167,SPI,MOSI, 0x00,  MISO, 0x05
0.072813667,SPI,MOSI, 0x00,  MISO, 0x00
0.072821667,SPI,MOSI, 0x00,  MISO, 0xF5
0.072831208,SPI,MOSI, 0x00,  MISO, 0x30
0.072839167,SPI,MOSI, 0x00,  MISO, 0xF6
0.072848708,SPI,MOSI, 0x00,  MISO, 0x83
0.072856667,SPI,MOSI, 0x00,  MISO, 0x06
0.072866208,SPI,MOSI, 0x00,  MISO, 0x93
0.072874167,SPI,MOSI, 0x00,  MISO, 0x52
0.072883708,SPI,MOSI, 0x00,  MISO, 0x05
0.072891667,SPI,MOSI, 0x00,  MISO, 0x51
0.072901208,SPI,MOSI, 0x00,  MISO, 0xF3
0.072909167,SPI,MOSI, 0x00,  MISO, 0x3B
0.072918708,SPI,MOSI, 0x00,  MISO, 0xB8
0.072926708,SPI,MOSI, 0x00,  MISO, 0xFF
0.072936208,SPI,MOSI, 0x00,  MISO, 0xFF
0.072944208,SPI,MOSI, 0x00,  MISO, 0xFF
0.072953708,SPI,MOSI, 0x00,  MISO, 0xFF
0.072961708,SPI,MOSI, 0x00,  MISO, 0xFF
0.072971208,SPI,MOSI, 0x00,  MISO, 0xFF
0.072979208,SPI,MOSI, 0x00,  MISO, 0xFF
0.072988708,SPI,MOSI, 0x00,  MISO, 0xFF
0.072996708,SPI,MOSI, 0x00,  MISO, 0xFF
0.073006167,SPI,MOSI, 0x00,  MISO, 0xFF
0.073014208,SPI,MOSI, 0x00,  MISO, 0xFF
0.073023708,SPI,MOSI, 0x00,  MISO, 0xFF
