Time [s], Analyzer Name, Decoded Protocol Result,,,,,,,,,,
0.06806425,SPI,MOSI, 0x00,  MISO, 0x80,,,,,,,
0.06807225,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06808025,SPI,MOSI, 0x00,  MISO, 0x80,,,,,,,
0.06808825,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0680965,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06810425,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0681125,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06812025,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0681285,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06813625,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0681445,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0681525,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0681605,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0681685,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0681765,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0681845,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0681925,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0682005,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06820825,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0682165,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06822425,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0682325,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0682405,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0682485,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0682565,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0682645,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0693345,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.0693425,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.06937725,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.06938525,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.069417,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.069425,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.06945675,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.06946475,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.06950825,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.06951625,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.06954825,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.06955625,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.06958825,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.06959625,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.069632,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.06964,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.06967325,SPI,MOSI, 0x00,  MISO, 0xD0,,,,,,,
0.0696815,SPI,MOSI, 0x00,  MISO, 0xA1,,,,,,,
0.0696895,SPI,MOSI, 0x00,  MISO, 0x2B,,,,,,,
0.0696975,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0697055,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0697135,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.06972125,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0697295,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0697375,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0697455,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0697535,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0697615,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0697695,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0697775,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0697855,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0697935,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0698015,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0698095,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0698175,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0698255,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0698335,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0698415,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0698495,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0698575,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0698655,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0698735,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0698815,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0698895,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0698975,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0699055,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0699135,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0699215,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0699295,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0699375,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0699455,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0699535,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0699615,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0699695,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0699775,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0699855,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0699935,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0700015,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0700095,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0700175,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0700255,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0700335,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0700415,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0700495,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0700575,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0700655,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0700735,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0700815,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0700895,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0700975,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0701055,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0701135,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0701215,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0701295,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0701375,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0701455,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.07130825,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.07131625,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.07135125,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.07135925,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.07139125,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.07139925,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.071431,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.071439,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.07147075,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.07147875,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.0715155,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.0715235,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.071566,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.071574,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.07160625,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.07161425,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.07164725,SPI,MOSI, 0x00,  MISO, 0x2B,,,,,,,
0.07165525,SPI,MOSI, 0x00,  MISO, 0xFB,,,,,,,
0.07166325,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.07167125,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071712,SPI,MOSI, 0x00,  MISO, 0x4F,,,,,,,
0.07172,SPI,MOSI, 0x00,  MISO, 0xA1,,,,,,,
0.071728,SPI,MOSI, 0x00,  MISO, 0x4A,,,,,,,
0.071736,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071744,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071752,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.07176,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071768,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071776,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071784,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071792,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.0718,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071808,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071816,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071824,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071832,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.07184,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071848,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071856,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071864,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071872,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.07188,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071888,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071896,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071904,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071912,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.07192,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071928,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.071936,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
